# Ordem,Estado,Anos atividade,Região,Receitas,Ativos,Montante,BR,Prazo,# pmts pagas,Taxa ind.,Taxa med,# ofertas
0083,Pago,10,Madeira,"<100,000","100,000 - 350,000",10000,C,24,24.0,0.0959,0.09575624500407026,62
0084,Pago,55,Açores,"100,000 - 350,000","500,000-1,500,000",10000,B,18,18.0,0.0557,0.05552813455576627,116
0085,Regular,4,Minho e Douro Litoral,"100,000 - 350,000","100,000 - 350,000",20000,R,60,16.0,0.1,0.08264938580956174,108
0086,Pago,38,Minho e Douro Litoral,"500,000-1,500,000","500,000-1,500,000",15000,B,24,24.0,0.0609,0.07007815868432438,147
0087,Pago,9,Lisboa,"100,000 - 350,000","<100,000",10000,B-,24,24.0,0.0708,0.0843508787301124,85
0088,Pago,8,Beira Litoral,"500,000-1,500,000","350,000-500,000",10000,B-,24,24.0,0.0708,0.07439506741721481,103
0089,Pago,27,Algarve,"350,000-500,000","350,000-500,000",15000,B,18,18.0,0.0557,0.0707893851248221,170
0090,Pago,8,Beira Litoral,"100,000 - 350,000","100,000 - 350,000",10000,B,24,24.0,0.0609,0.06075990907750961,114
0091,Pago,10,Minho e Douro Litoral,"500,000-1,500,000","500,000-1,500,000",15000,B+,12,12.0,0.0406,0.04260486874734519,171
0092,Pago,6,Estremadura e Ribatejo,"350,000-500,000","500,000-1,500,000",20000,B+,24,24.0,0.0509,0.05448807983611298,131
0093,Pago,27,Minho e Douro Litoral,"500,000-1,500,000","500,000-1,500,000",20000,B+,24,24.0,0.0509,0.05117843352616404,140
0094,Pago,15,Açores,"500,000-1,500,000","500,000-1,500,000",10000,B+,24,24.0,0.0509,0.05085725570939477,74
0095,Pago,13,Beira Litoral,"100,000 - 350,000","500,000-1,500,000",10000,B-,24,24.0,0.0708,0.0707315125681093,82
0096,Pago,25,Estremadura e Ribatejo,"350,000-500,000","350,000-500,000",10000,B+,18,18.0,0.0357,0.046172822765678426,120
0097,Pago,4,Trás os Montes e Alto Douro,"<100,000","100,000 - 350,000",5000,C,24,24.0,0.0959,0.0959000000120331,26
0098,Pago,9,Lisboa,">=1,500,000","500,000-1,500,000",15000,B+,24,24.0,0.0509,0.061112961231912614,169
0099,Pago,22,Beira Litoral,"500,000-1,500,000","500,000-1,500,000",15000,B,24,24.0,0.0609,0.060852538116270574,111
0100,Pago,14,Minho e Douro Litoral,"100,000 - 350,000","350,000-500,000",10000,C,24,24.0,0.0959,0.09589550119476498,63
0101,Pago,5,Alentejo,"100,000 - 350,000","500,000-1,500,000",5000,C,12,12.0,0.0856,0.08559470013279073,45
0102,Pago,9,Estremadura e Ribatejo,"350,000-500,000","100,000 - 350,000",10000,B+,24,24.0,0.0509,0.05428776089230443,93
0103,Pago,11,Lisboa,"500,000-1,500,000","500,000-1,500,000",20000,B-,12,12.0,0.0605,0.060462855650879305,204
0104,Pago,2,Minho e Douro Litoral,"100,000 - 350,000","100,000 - 350,000",20000,C,36,36.0,0.0999,0.0998,105
0105,Regular,4,Trás os Montes e Alto Douro,"<100,000","100,000 - 350,000",15000,C,36,32.0,0.0999,0.09990000000019636,77
0106,Pago,19,Açores,"350,000-500,000","500,000-1,500,000",15000,A,24,24.0,0.0408,0.04445457977801697,148
0107,Regular,12,Minho e Douro Litoral,"<100,000","<100,000",10000,R,60,14.0,0.1,0.09589999999999871,54
0108,Pago,10,Estremadura e Ribatejo,"500,000-1,500,000","500,000-1,500,000",15000,B+,24,24.0,0.0509,0.05083087975995763,91
0109,Pago,13,Beira Litoral,"500,000-1,500,000","350,000-500,000",15000,B+,24,24.0,0.0509,0.050889932393984205,142
0110,Pago,11,Estremadura e Ribatejo,"500,000-1,500,000","500,000-1,500,000",15000,B,24,24.0,0.0609,0.06089986667073723,172
0111,Pago,17,Estremadura e Ribatejo,"500,000-1,500,000",">=1,500,000",20000,B+,24,24.0,0.0509,0.05606790295623343,142
0112,Pago,14,Beira Interior,"350,000-500,000",">=1,500,000",15000,B-,24,24.0,0.0708,0.07078946913712633,146
0113,Pago,55,Beira Litoral,"100,000 - 350,000","500,000-1,500,000",10000,B,24,24.0,0.0609,0.06089630034631294,100
0114,Regular,38,Minho e Douro Litoral,"500,000-1,500,000","500,000-1,500,000",10000,B,36,31.0,0.0649,0.06579381027099179,107
0115,Regular,24,Beira Litoral,">=1,500,000",">=1,500,000",20000,R,144,20.0,0.03,0.03,128
0116,Pago,17,Minho e Douro Litoral,"500,000-1,500,000","350,000-500,000",20000,B,18,18.0,0.0557,0.055693400885149597,194
0117,Pago,18,Minho e Douro Litoral,"100,000 - 350,000","100,000 - 350,000",15000,B,24,24.0,0.0609,0.06637582007775067,113
0118,Pago,6,Beira Interior,"100,000 - 350,000","350,000-500,000",10000,B-,24,24.0,0.0708,0.0707999999999882,85
0119,Pago,7,Minho e Douro Litoral,"100,000 - 350,000",">=1,500,000",15000,B-,24,24.0,0.0708,0.07079476778437246,177
0120,Pago,31,Beira Litoral,"500,000-1,500,000","500,000-1,500,000",15000,B+,12,12.0,0.0406,0.04059260065837404,189
0121,Pago,12,Beira Litoral,"100,000 - 350,000","100,000 - 350,000",5000,B-,12,12.0,0.0605,0.06754968610848383,37
0122,Pago,29,Beira Litoral,"500,000-1,500,000",">=1,500,000",20000,B+,18,18.0,0.0457,0.058312146724097354,176
