Anos atividade,Região,Receitas,Ativos,Montante,BR,Prazo,# pmts pagas,Taxa ind.,Taxa med,target
2,7,4,3,25000,8,24,18.0,0.0959,0.09589970000886104,0
4,8,2,1,10000,6,36,6.0,0.0748,0.0748,0
14,3,3,4,25000,0,24,24.0,0.0408,0.05108506476410957,0
2,8,2,3,25000,8,36,25.0,0.0999,0.0997009260689962,0
11,6,3,3,15000,8,24,19.0,0.0959,0.09584897195789704,0
5,6,0,0,50000,1,12,12.0,0.0506,0.050529186845469816,0
16,3,1,1,10000,8,24,24.0,0.0959,0.09589620071320709,0
9,3,3,2,12500,7,24,24.0,0.0834,0.0894145121719962,0
4,8,1,1,10000,6,36,4.0,0.0731,0.0731,0
6,5,1,3,15000,7,36,11.0,0.0874,0.0874,0
4,3,2,1,10000,7,36,5.0,0.08560000000000001,0.08560000000000001,0
5,0,2,4,5000,8,12,12.0,0.0856,0.08559470013279073,0
3,1,1,1,5000,1,48,10.0,0.0692,0.0692,0
6,3,4,0,25000,6,18,18.0,0.0657,0.06565635506286098,0
6,8,3,3,20000,1,24,9.0,0.060899999999999996,0.060899999999999996,0
3,0,2,1,20000,6,36,19.0,0.0748,0.07479482648942529,0
22,8,0,0,75000,3,24,6.0,0.0475,0.0475,0
7,3,4,0,50000,5,36,7.0,0.054900000000000004,0.054900000000000004,0
25,2,4,4,10000,7,48,12.0,0.0917,0.09168811144006911,0
25,2,2,3,10000,5,24,24.0,0.0509,0.07659161279886437,0
14,3,3,4,10000,0,12,12.0,0.0316,0.041426528059019904,0
38,8,3,4,15000,5,18,18.0,0.0457,0.04569329200889648,0
5,8,1,2,20000,1,36,7.0,0.0649,0.0649,0
7,8,1,1,25000,1,60,2.0,0.0728,0.0728,0
6,7,1,1,20000,6,36,3.0,0.0731,0.0731,0
31,7,0,4,20000,1,24,11.0,0.060899999999999996,0.06089843,0
19,0,2,3,38000,6,36,10.0,0.0748,0.0748,0
13,8,2,3,30000,1,36,20.0,0.0649,0.0652659230664427,0
17,8,2,3,15000,5,24,1.0,0.0509,0.0509,0
37,8,3,4,10000,5,12,12.0,0.0417,0.05138577729206746,0
27,8,3,4,20000,5,24,24.0,0.0509,0.05117843352616404,0
26,2,2,3,20000,5,24,24.0,0.0509,0.05858399664585405,0
4,5,1,3,5000,8,24,24.0,0.0959,0.0959000000120331,0
32,8,4,4,10000,8,36,8.0,0.0999,0.0999,0
27,4,2,1,30000,1,36,0.0,0.06309999999999999,0.06309999999999999,0
24,8,4,4,25000,6,48,1.0,0.0779,0.0779,0
7,3,2,3,15000,6,24,24.0,0.0708,0.0826765753648514,0
12,3,1,1,10000,5,48,1.0,0.0579,0.0579,0
4,8,2,3,10000,1,36,12.0,0.0649,0.06489800036284216,0
6,7,4,4,10000,5,12,12.0,0.0417,0.046448758258241324,0
5,6,2,1,20000,8,36,21.0,0.0999,0.09989850017665436,0
3,3,2,1,10000,1,18,3.0,0.0557,0.0557,0
2,8,3,2,30000,1,24,16.0,0.06087675517637628,0.0609,0
19,7,2,3,15000,1,36,12.0,0.0649,0.06489810062973159,0
21,8,3,4,20000,1,24,24.0,0.0609,0.060894176465501805,0
3,7,2,1,50000,6,36,9.0,0.0748,0.0748,0
11,7,2,3,20000,1,48,10.0,0.0692,0.0692,0
28,7,1,2,10000,1,24,24.0,0.0609,0.0784361391786304,0
